#name              kp       xarc       yarc   xerr   yerr         vx         vy     vxerr     vyerr         t0   use      r2d
S047_19_3.8      18.7   -0.74563   -3.74699    0.0    0.0    -0.1082     0.2664    0.1636    0.1743   2016.231     0    3.820
S051_19_2.8      18.7   -1.78462    2.16158    0.0    0.0    -0.4070    -2.3331    0.1198    0.1322   2016.291     8    2.803
S052_19_3.2      18.7   -2.91127    1.27968    0.0    0.0    -0.2551    -4.3833    0.1396    0.1294   2016.391     0    3.180
S053_19_3.0      18.8   -2.86927    0.89220    0.0    0.0    -0.7768    -4.9960    0.1441    0.1120   2016.487     0    3.005
S048_19_2.4      18.8    0.57755    2.33809    0.0    0.0     1.3913     4.0342    0.1332    0.1836   2016.197     8    2.408
S049_19_1.0      18.8   -0.29803   -0.95392    0.0    0.0     5.0993     1.7836    0.1098    0.1254   2016.394     8    0.999
S054_19_2.4      18.9   -1.20254    2.05034    0.0    0.0    -2.0990     0.5024    0.1254    0.1783   2016.253     8    2.377
S046_19_3.4      18.8    3.31381   -0.60513    0.0    0.0    -1.4630    -2.1385    0.1552    0.1465   2016.177     0    3.369
S050_19_3.0      18.9    1.17305    2.73870    0.0    0.0    -2.8692    -0.6921    0.1026    0.1260   2016.346     8    2.979
S056_19_3.3      18.9   -2.22126    2.45958    0.0    0.0    -1.5034    -2.7978    0.1628    0.2230   2016.281     0    3.314
S057_19_2.2      19.0    0.54340    2.11913    0.0    0.0    -0.1700    -2.0087    0.0882    0.2415   2015.925     8    2.188
S062_19_2.4      19.1   -1.07291   -2.11005    0.0    0.0     6.4646    -1.9575    0.1712    0.1179   2016.061     8    2.367
S064_19_2.2      19.1   -1.03043   -1.90532    0.0    0.0     2.8243     0.5698    0.1253    0.1849   2015.978     8    2.166
S061_19_3.0      19.1   -2.95486   -0.05983    0.0    0.0     3.7287     4.4776    0.1977    0.1252   2016.202     8    2.955
S058_19_2.9      19.2    0.12921   -2.86729    0.0    0.0    -2.5274    -4.9245    0.1493    0.1176   2016.365     8    2.870
S069_19_1.1      19.2   -0.68696   -0.90597    0.0    0.0    -2.1415    -2.3205    0.1339    0.1454   2016.169     8    1.137
